# Add bound coherent scattering length, December, 2021
#
# File assembled by A. J. Schultz, November, 2009.
#
# Except for hydrogen, cross-section values are from the NIST web site:
# http://www.ncnr.nist.gov/resources/n-lengths/list.html
# which contains values from:
# V. F. Sears, Neutron News, Vol. 3, No. 3, 1992, pp. 29-37.
#
# Hydrogen cross-sections are from:
# Howard, J. A. K.; Johnson, O.; Schultz, A. J.; Stringer, A. M.
#	J. Appl. Cryst. 1987, 20, 120-122.
#
# Atomic weights are from the atmdata.dat file in the GSAS distribution:
# A.C. Larson and R.B. Von Dreele, General Structure Analysis System (GSAS),
# Los Alamos National Laboratory Report LAUR 86-748 (2004).
# In the file, there is this citation:
# At wts from 14th ed Nuclides & Isotopes, 1989 GE Co.
#
# The table contains the following:
#
# Column  Unit    Quantity  
# ------  ----    --------
#      1  ---     Isotope  
#      2  barn    total bound scattering cross section  
#      3  barn    absorption cross section for 2200 m/s neutrons (wavelength = 1.8 A)
#      4  ---     Atomic number
#      5  g/mole  Atomic weight
#      6  fm      bound coherent scattering length (real)
#      7  fm      bound coherent scattering length (imaginary)
#
# Note: 1 barn = 1E-24 cm^2, 1 fm = 1E-13 cm.
#
60Ni        0.990       2.900000    28     58.931    2.8        0
61Ni        9.200       2.500000    28     60.931    7.6        0
62Ni        9.500      14.500000    28     61.928    -8.7       0
64Ni        0.017       1.520000    28     63.928    -0.37      0
Cu          8.030       3.780000    29     63.546    7.718      0
63Cu        5.200       4.500000    29     62.930    6.43       0
65Cu       14.500       2.170000    29     64.928    10.61      0
Zn          4.131       1.110000    30     65.380    5.68       0
64Zn        3.420       0.930000    30     63.929    5.22       0
66Zn        4.480       0.620000    30     65.926    5.97       0
67Zn        7.460       6.800000    30     65.927    7.56       0
68Zn        4.570       1.100000    30     67.925    6.03       0
70Zn        4.500       0.092000    30        ---    6          0
Ga          6.830       2.750000    31     69.720    7.288      0
69Ga        7.890       2.180000    31        ---    7.88       0
71Ga        5.230       3.610000    31        ---    6.4        0
Ge          8.600       2.200000    32     72.590    8.185      0
70Ge       12.600       3.000000    32        ---    10         0
72Ge        9.100       0.800000    32        ---    8.51       0
73Ge        4.700      15.100000    32        ---    5.02       0
74Ge        7.200       0.400000    32        ---    7.58       0
76Ge        8.000       0.160000    32        ---    8.2        0
As          5.500       4.500000    33     74.922    6.58       0
Se          8.300      11.700000    34     78.960    7.97       0
74Se        0.100      51.800000    34        ---    0.8        0
76Se       18.700      85.000000    34        ---    12.2       0
77Se        8.650      42.000000    34        ---    8.25       0
78Se        8.500       0.430000    34        ---    8.24       0
80Se        7.030       0.610000    34        ---    7.48       0
82Se        5.050       0.044000    34        ---    6.34       0
Br          5.900       6.900000    35     79.904    6.795      0
79Br        5.960      11.000000    35     78.918    6.8        0
81Br        5.840       2.700000    35     80.916    6.79       0
Kr          7.680      25.000000    36     83.800    7.81       0
78Kr          ---       6.400000    36        ---    ---        ---
80Kr          ---      11.800000    36        ---    ---        ---
82Kr          ---      29.000000    36        ---    ---        ---
83Kr          ---     185.000000    36        ---    ---        ---
84Kr        6.600       0.113000    36        ---    ---        ---
86Kr        8.200       0.003000    36        ---    8.1        0
Rb          6.800       0.380000    37     85.468    7.09       0
85Rb        6.700       0.480000    37        ---    7.03       0
87Rb        7.100       0.120000    37        ---    7.23       0
Sr          6.250       1.280000    38     87.620    7.02       0
84Sr        6.000       0.870000    38        ---    7          0
86Sr        4.040       1.040000    38        ---    5.67       0
87Sr        7.400      16.000000    38        ---    7.4        0
88Sr        6.420       0.058000    38        ---    7.15       0
Y           7.700       1.280000    39     88.907    7.75       0
Zr          6.460       0.185000    40     91.220    7.16       0
90Zr        5.100       0.011000    40        ---    6.4        0
91Zr        9.700       1.170000    40        ---    8.7        0
92Zr        6.900       0.220000    40        ---    7.4        0
94Zr        8.400       0.049900    40        ---    8.2        0
96Zr        3.800       0.022900    40        ---    5.5        0
Nb          6.255       1.150000    41     92.906    7.054      0
Mo          5.710       2.480000    42     95.940    6.715      0
92Mo        6.000       0.019000    42        ---    6.91       0
94Mo        5.810       0.015000    42        ---    6.8        0
95Mo        6.500      13.100000    42        ---    6.91       0
96Mo        4.830       0.500000    42        ---    6.2        0
97Mo        7.100       2.500000    42        ---    7.24       0
98Mo        5.440       0.127000    42        ---    6.58       0
100Mo       5.690       0.400000    42        ---    6.73       0
Tc          6.300      20.000000    43        ---    6.8        0
Ru          6.600       2.560000    44    101.070    7.03       0
96Ru          ---       0.280000    44        ---    ---        ---
98Ru          ---       8.000000    44        ---    ---        ---
99Ru          ---       6.900000    44        ---    ---        ---
100Ru         ---       4.800000    44        ---    ---        ---
101Ru         ---       3.300000    44        ---    ---        ---
102Ru     144.800       1.170000    44        ---    ---        ---
104Ru       4.483       0.310000    44        ---    ---        ---
Rh          4.600     144.800000    45    102.906    5.88       0
Pd          4.480       6.900000    46    106.400    5.91       0
102Pd       7.500       3.400000    46        ---    7.7        0
104Pd       7.500       0.600000    46        ---    7.7        0
105Pd       4.600      20.000000    46        ---    5.5        0
106Pd       5.100       0.304000    46        ---    6.4        0
108Pd       2.100       8.550000    46        ---    4.1        0
110Pd       7.500       0.226000    46        ---    7.7        0
Ag          4.990      63.300000    47    107.868    5.922      0
107Ag       7.300      37.600000    47        ---    7.555      0
109Ag       2.500      91.000000    47        ---    4.165      0
Cd          6.500    2520.000000    48    112.410    4.87       0
106Cd       3.100       1.000000    48        ---    5          0
108Cd       3.700       1.100000    48        ---    5.4        0
110Cd       4.400      11.000000    48        ---    5.9        0
111Cd       5.600      24.000000    48        ---    6.5        0
112Cd       5.100       2.200000    48    111.903    6.4        0
113Cd      12.400   20600.000000    48    112.904    -8         0
114Cd       7.100       0.340000    48    113.903    7.5        0
116Cd       5.000       0.075000    48    115.905    6.3        0
In          2.620     193.800000    49    114.820    4.065      0
113In       3.650      12.000000    49    112.904    5.39       0
115In       2.570     202.000000    49    114.904    4.01       0
Sn          4.892       0.626000    50    118.690    6.225      0
112Sn       4.500       1.000000    50        ---    6          0
114Sn       4.800       0.114000    50        ---    6.2        0
115Sn       4.800      30.000000    50        ---    6          0
116Sn       4.420       0.140000    50        ---    5.93       0
117Sn       5.600       2.300000    50        ---    6.48       0
118Sn       4.630       0.220000    50        ---    6.07       0
119Sn       5.000       2.200000    50        ---    6.12       0
120Sn       5.290       0.140000    50        ---    6.49       0
122Sn       4.140       0.180000    50        ---    5.74       0
124Sn       4.480       0.133000    50        ---    5.97       0
Sb          3.900       4.910000    51    121.750    5.57       0
121Sb       4.100       5.750000    51        ---    5.71       0
123Sb       3.640       3.800000    51        ---    5.38       0
Te          4.320       4.700000    52    127.600    5.8        0
120Te       3.500       2.300000    52        ---    5.3        0
122Te       1.800       3.400000    52        ---    3.8        0
123Te       0.520     418.000000    52        ---    -0.05      0
124Te       8.000       6.800000    52        ---    7.96       0
125Te       3.180       1.550000    52        ---    5.02       0
126Te       3.880       1.040000    52        ---    5.56       0
128Te       4.360       0.215000    52        ---    5.89       0
130Te       4.550       0.290000    52        ---    6.02       0
I           3.810       6.150000    53    126.904    5.28       0
Xe            ---      23.900000    54    131.300    4.92       0
124Xe         ---     165.000000    54        ---    ---        ---
126Xe         ---       3.500000    54        ---    ---        ---
128Xe         ---       8.000000    54        ---    ---        ---
129Xe         ---      21.000000    54        ---    ---        ---
130Xe         ---      26.000000    54        ---    ---        ---
131Xe         ---      85.000000    54        ---    ---        ---
132Xe         ---       0.450000    54        ---    ---        ---
134Xe         ---       0.265000    54        ---    ---        ---
136Xe         ---       0.260000    54        ---    ---        ---
Cs          3.900      29.000000    55    132.905    5.42       0
Ba          3.380       1.100000    56    137.330    5.07       0
130Ba       1.600      30.000000    56        ---    -3.6       0
132Ba       7.600       7.000000    56        ---    7.8        0
134Ba       4.080       2.000000    56        ---    5.7        0
135Ba       3.200       5.800000    56        ---    4.67       0
136Ba       3.030       0.680000    56        ---    4.91       0
137Ba       6.400       3.600000    56        ---    6.83       0
138Ba       2.940       0.270000    56        ---    4.84       0
La          9.660       8.970000    57    138.906    8.24       0
138La       8.500      57.000000    57        ---    8          0
139La       9.660       8.930000    57        ---    8.24       0
Ce          2.940       0.630000    58    140.120    4.84       0
136Ce       4.230       7.300000    58        ---    5.8        0
138Ce       5.640       1.100000    58        ---    6.7        0
140Ce       2.940       0.570000    58        ---    4.84       0
142Ce       2.840       0.950000    58        ---    4.75       0
Pr          2.660      11.500000    59    140.908    4.58       0
Nd         16.600      50.500000    60    144.240    7.69       0
142Nd       7.500      18.700000    60        ---    7.7        0
143Nd      80.000     337.000000    60        ---    14         0
144Nd       1.000       3.600000    60        ---    2.8        0
145Nd      30.000      42.000000    60        ---    14         0
146Nd       9.500       1.400000    60        ---    8.7        0
148Nd       4.100       2.500000    60        ---    5.7        0
150Nd       3.500       1.200000    60        ---    5.3        0
Pm         21.300     168.400000    61        ---    12.6       0
Sm         39.000    5922.000000    62    150.400    0.8        -1.65
144Sm       1.000       0.700000    62        ---    -3         0
147Sm      39.000      57.000000    62        ---    14         0
148Sm       1.000       2.400000    62        ---    -3         0
149Sm     200.000   42080.000000    62    148.917    -19.2      -11.7
150Sm      25.000     104.000000    62        ---    14         0
152Sm       3.100     206.000000    62    151.920    -5         0
154Sm      11.000       8.400000    62    153.922    9.3        0
Eu          9.200    4530.000000    63    151.960    7.22       -1.26
151Eu       8.600    9100.000000    63    150.920    6.13       -2.53
153Eu       9.800     312.000000    63    152.921    8.22       0
