,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1,4.12281,4.12237,4.12111,4.11897,4.116,4.11217,4.1075,4.102,4.09565,4.08852,4.08056,4.07186,4.06236,4.05214,4.04118,4.02953,4.01722,4.00426,3.99069,3.97652,3.96183,3.94658,3.93087,3.91468,3.89808,3.88108,3.86371,3.84603,3.82803,3.80978,3.79128,3.77259,3.75371,3.7347,3.71555,3.69633,3.67703,3.65769,3.63835,3.619,3.59971,3.58045,3.56128,3.5422,3.52324,3.50441,3.48574,3.46724,3.44892,3.43082,3.41292,3.39527,3.37786,3.36072,3.34384,3.32726,3.31097,3.295,3.27935,3.26403,3.24907,3.23444,3.2202,3.20632,3.19284,3.17974,3.16705,3.15478,3.14292,3.13151,3.12053,3.11001,3.09994,3.09036,3.08124,3.07261,3.06449,3.05686,3.04976,3.04317,3.03714,3.03162,3.02667,3.02227,3.01845,3.01519,3.01252,3.01043,3.00893,3.00805,3.00774
1.1,4.70231,4.70168,4.6999,4.69688,4.69269,4.68729,4.6807,4.67296,4.66404,4.65402,4.64285,4.63065,4.61737,4.60309,4.58783,4.57163,4.55454,4.53658,4.51784,4.49831,4.4781,4.45719,4.43569,4.41359,4.39099,4.36791,4.34439,4.3205,4.29626,4.27175,4.24696,4.22199,4.19683,4.17156,4.14619,4.12077,4.09533,4.06989,4.04451,4.01919,3.994,3.96892,3.94402,3.91928,3.89477,3.87047,3.84643,3.82267,3.79918,3.77602,3.75316,3.73067,3.70852,3.68676,3.66537,3.64438,3.62381,3.60366,3.58396,3.56469,3.5459,3.52756,3.50973,3.49236,3.47551,3.45917,3.44335,3.42806,3.41331,3.39912,3.38548,3.37242,3.35993,3.34804,3.33674,3.32606,3.316,3.30656,3.29777,3.28962,3.28216,3.27534,3.26922,3.26378,3.25905,3.25502,3.25171,3.24914,3.24728,3.24619,3.24581
1.2,5.35246,5.35159,5.34913,5.34495,5.33914,5.33167,5.32256,5.31187,5.29956,5.28575,5.27039,5.25363,5.23541,5.21588,5.19502,5.17294,5.1497,5.12534,5.09997,5.07359,5.04637,5.01828,4.98947,4.95995,4.92983,4.89915,4.86799,4.83642,4.80447,4.77225,4.73976,4.70712,4.67433,4.64148,4.60858,4.57571,4.54289,4.51017,4.47761,4.44521,4.41304,4.3811,4.34946,4.3181,4.28709,4.25644,4.22616,4.1963,4.16685,4.13786,4.10932,4.08128,4.05371,4.02668,4.00016,3.97418,3.94876,3.9239,3.89962,3.87591,3.85282,3.83032,3.80845,3.7872,3.7666,3.74663,3.72733,3.70869,3.69072,3.67345,3.65685,3.64099,3.62581,3.61138,3.59767,3.58472,3.57252,3.56109,3.55044,3.54057,3.53152,3.52327,3.51586,3.50927,3.50355,3.49867,3.49466,3.49154,3.4893,3.48797,3.48751
1.3,6.08002,6.07883,6.07548,6.06978,6.06188,6.05171,6.03933,6.0248,6.0081,5.98939,5.96861,5.94598,5.92142,5.89514,5.86715,5.83758,5.80653,5.77406,5.74033,5.70536,5.66936,5.63231,5.59442,5.5557,5.51631,5.4763,5.43578,5.39483,5.35352,5.31198,5.2702,5.22835,5.18642,5.14453,5.10269,5.061,5.01949,4.97821,4.93723,4.89655,4.85628,4.81637,4.77694,4.73795,4.69949,4.66154,4.62414,4.58733,4.5511,4.51552,4.48054,4.44624,4.41259,4.37964,4.34737,4.31582,4.28498,4.25486,4.2255,4.19687,4.16902,4.14191,4.11561,4.09007,4.06533,4.04139,4.01826,3.99595,3.97445,3.95381,3.93399,3.91505,3.89695,3.87975,3.86342,3.84798,3.83346,3.81985,3.80718,3.79543,3.78467,3.77485,3.76604,3.7582,3.75139,3.74559,3.74082,3.73711,3.73444,3.73286,3.73231
1.4,6.8921,6.89051,6.88601,6.87836,6.86775,6.85411,6.83752,6.81807,6.79574,6.77077,6.74307,6.71297,6.68037,6.64556,6.60857,6.56959,6.52874,6.48615,6.44202,6.3964,6.34956,6.30149,6.25248,6.20253,6.15186,6.10055,6.04873,5.99653,5.944,5.89134,5.83853,5.78579,5.73307,5.68056,5.62826,5.57629,5.52468,5.47348,5.42279,5.37259,5.32301,5.274,5.22569,5.17803,5.13111,5.08492,5.0395,4.99489,4.95106,4.9081,4.86594,4.82469,4.78427,4.74477,4.70615,4.66844,4.63164,4.59576,4.56082,4.52679,4.49374,4.46161,4.43046,4.40025,4.37102,4.34276,4.31548,4.28919,4.26388,4.23959,4.21628,4.19403,4.17277,4.15258,4.13341,4.11531,4.09828,4.08232,4.06748,4.05371,4.0411,4.0296,4.01928,4.01009,4.00211,3.99531,3.98972,3.98537,3.98224,3.98039,3.97974
1.5,7.79616,7.79405,7.78809,7.77794,7.76389,7.74583,7.72388,7.69818,7.66873,7.63584,7.59942,7.55992,7.51723,7.47176,7.42354,7.37287,7.31991,7.26483,7.20793,7.14926,7.08921,7.02776,6.96529,6.90181,6.83762,6.7728,6.70753,6.64198,6.57621,6.51047,6.44473,6.37926,6.31401,6.2492,6.18482,6.121,6.05781,5.99527,5.93352,5.87251,5.81241,5.75312,5.69482,5.63743,5.58106,5.52568,5.47133,5.41805,5.36581,5.3147,5.26463,5.21573,5.16789,5.12122,5.07565,5.03123,4.98794,4.94579,4.9048,4.86493,4.82625,4.78869,4.75232,4.71708,4.68302,4.65011,4.61837,4.58781,4.55841,4.53022,4.50318,4.47739,4.45275,4.42936,4.40717,4.38622,4.36652,4.34806,4.33089,4.31497,4.30039,4.28708,4.27515,4.26453,4.2553,4.24743,4.24097,4.23594,4.23231,4.23016,4.22942
1.6,8.79998,8.7972,8.7894,8.7761,8.7577,8.73406,8.70537,8.67182,8.63342,8.59063,8.54332,8.49212,8.43691,8.37825,8.3162,8.25116,8.18338,8.11308,8.04067,7.96623,7.89026,7.81275,7.73421,7.65463,7.57441,7.49364,7.41256,7.33138,7.25017,7.16923,7.08852,7.00838,6.92873,6.84984,6.77167,6.69441,6.61808,6.54275,6.46855,6.39541,6.32353,6.25279,6.18338,6.1152,6.04837,5.98284,5.91867,5.85588,5.79443,5.73441,5.67572,5.61849,5.5626,5.50815,5.45507,5.4034,5.35312,5.30421,5.25673,5.21058,5.16588,5.1225,5.08055,5.03993,5.00072,4.96286,4.92638,4.89128,4.85754,4.8252,4.79421,4.76465,4.73643,4.70966,4.68426,4.6603,4.63776,4.61665,4.59702,4.57882,4.56216,4.54694,4.5333,4.52116,4.51061,4.50161,4.49422,4.48846,4.48431,4.48186,4.481
1.7,9.91163,9.90801,9.8979,9.88066,9.85681,9.8262,9.7891,9.74577,9.69626,9.64118,9.58041,9.5148,9.4442,9.3694,9.29047,9.20798,9.12225,9.0336,8.94257,8.84925,8.75433,8.65777,8.56024,8.46173,8.36272,8.26335,8.1639,8.06462,7.96561,7.86721,7.76938,7.67253,7.57651,7.48168,7.38798,7.29559,7.20456,7.11495,7.02688,6.94027,6.85536,6.77198,6.69035,6.61032,6.53204,6.45544,6.38057,6.30744,6.23599,6.16634,6.09833,6.03213,5.96757,5.90477,5.84363,5.78419,5.72644,5.67033,5.61591,5.5631,5.51198,5.46243,5.41456,5.36825,5.32358,5.2805,5.239,5.19911,5.16078,5.12408,5.08891,5.05539,5.02341,4.99307,4.96431,4.93717,4.91165,4.88776,4.86554,4.84494,4.82609,4.80887,4.79343,4.77969,4.76774,4.75756,4.74918,4.74266,4.73796,4.73518,4.7342
1.8,11.13942,11.13477,11.12178,11.09964,11.06905,11.02981,10.98229,10.92689,10.86368,10.79352,10.71626,10.63305,10.54374,10.44936,10.35005,10.24656,10.13932,10.02877,9.9156,9.79995,9.68269,9.56378,9.44405,9.3235,9.20272,9.08188,8.96131,8.84132,8.722,8.60378,8.48657,8.37085,8.25646,8.14379,8.03274,7.92353,7.8162,7.71078,7.60743,7.50604,7.40685,7.30964,7.21468,7.12178,7.03108,6.94249,6.85606,6.77179,6.6896,6.6096,6.53161,6.45581,6.38199,6.3103,6.24058,6.17291,6.10722,6.04348,5.98173,5.92186,5.86398,5.80792,5.75382,5.70153,5.65112,5.60254,5.55579,5.51087,5.46773,5.42645,5.38692,5.34925,5.31333,5.27927,5.24698,5.21652,5.18789,5.16108,5.13616,5.11306,5.09191,5.07259,5.05528,5.03985,5.02645,5.01502,5.00561,4.99829,4.99301,4.98989,4.98879
1.9,12.4919,12.48598,12.46946,12.44128,12.40238,12.35252,12.29224,12.22205,12.14212,12.05358,11.9563,11.85179,11.73991,11.62202,11.49832,11.36981,11.23704,11.10061,10.96138,10.81956,10.67624,10.53136,10.38596,10.24001,10.09427,9.9489,9.8043,9.66083,9.51858,9.37807,9.23913,9.10237,8.96752,8.83505,8.70483,8.57709,8.45185,8.32913,8.20909,8.09158,7.97688,7.8647,7.75534,7.64854,7.54448,7.44302,7.3442,7.24802,7.15436,7.06334,6.97474,6.88876,6.80513,6.72402,6.64525,6.56887,6.49483,6.42306,6.35361,6.28633,6.22135,6.15847,6.09784,6.03928,5.98289,5.92857,5.87632,5.82617,5.77802,5.73197,5.68788,5.64591,5.60588,5.56794,5.53198,5.49808,5.46621,5.43637,5.40864,5.38292,5.35938,5.33789,5.31861,5.30144,5.28652,5.27379,5.26331,5.25515,5.24926,5.24579,5.24456
